MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
adjacent		yes	adjective	having a common endpoint or border	MW online	adjacent	adjac	adjective	3	5	2	n/a	5	5	2		cognate	adyacente	1	7.G 	NOT PRESENT						5	math	1	2
adjusting		no	verb	to adapt or conform to new conditions	MW online	adjust	adjust	verb	5	4 & 5	2	n/a	8	59.4723	1	adjust	cognate	adjustando	0	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
adjustment		no	noun	"the act or process of adjusting, or adapting to new conditions"	MW online	adjustment	adjust	noun	5	5	1	abstract	12	59.4723	1	adjust	cognate	ajuste	0	NOT PRESENT	NOT PRESENT						5	math	1	1
adopt		no	verb	to take up and practice or use	MW online	adopt	adopt	verb	7	4	1	n/a	9	44.8269	0		cognate	adoptar	0								4	math	1	1
adopted		no	verb	to take up and practice or use	MW online	adopt	adopt	adjective	2	4 & 5	2	n/a	26	44.8269	0		cognate	adoptado	0								4 & 5	math	1	2
advertises		no	verb	"to make something known, usually publicly"	MW online	advertise	advertis	verb	2	5	1	n/a	0.2839	59.1312	0		cognate	adversidades	0								5	math	1	1
advertising		no	noun	the act of calling something to the attention of the public by paid announcements	MW online	advertising	advertis	noun	2	4	1	abstract	32	59.1312	0		notcognate		0								4	math	1	1
album		no	noun	a book with blank pages used to make a collection	MW online	album	album	noun	2	4	2	concrete	2	3	0		cognate	álbum	0								4	math	1	2
albums		no	noun	a book with blank pages used to make a collection (plural)	MW online	album	album	noun	2	4	2	concrete	1	3	0		cognate	álbumes	0								4	math	1	2
algebra		no	noun	a generalization of arithmetic in which letters representing numbers are combined according to the rules of arithmetic 	MW online	algebra	algebra	noun	1	4 & 5	2	abstract	2	2.2463	0		cognate	algebra	1	"HS.N-CN ,HS.A-SSE ,HS.A-APR ,HS.A-REI ,HS.F-LE ,HS.G-GPE ,8A.A, 8A.CVA  (HS.A-CED; HS.F-BF)"	NOT PRESENT						4 & 5	math	1	2
algebraic		yes	adjective	"relating to, involving, or according to the laws of algebra"	MW online	algebraic	algebra	adjective	1	4 & 5	4	n/a	0.1114	2.2463	0		cognate	algebraico	1	"K.CC, K.OA ,1.OA ,2.OA ,3.OA ,4.OA ,5.OA ,6.EE ,7.EE ,HS.F-IF ,8A.F ,8A.CVA (8.F; HS.A-REI, HS.F-BF; HS.Calculus 4 & 19)"	NOT PRESENT	Math:4.OA - Operations and Algebraic Thinking (heading only)		Math 5.OA??			4 & 5	math	1	4
algorithms		no	noun	a step by step procedure for solving a problem (plural)	MW online	algorithm	algorithm	noun	1	4	2	abstract	0.1913	0.3416	0		cognate	algoritmos	1	"3.NBT ,3.MD "	NOT PRESENT						4	math	1	2
alternate	to take turns	no	verb	to perform by turns or in succession 	MW online	alternate	altern	noun & verb & adjective	1 & 5 & 4	4	1	concrete	6	60.8566	1	alter	cognate	alternar	1	"4.OA ,HS.G-CO "	"Grade 4 Language Standards,Grade 5 Language Standards,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 9-10 Speaking and Listening,Grades 11-12 Writing Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	Math: 4.OA Generate and analyze patterns (5); ELA:Grade 4 Language Standards - Knowledge of Language (4)		ELA: Grade 5 Language Standards - Vocabulary Acquisition and Use (4)			4	math	1	1
alternative		no	adjective	offering or expressing a choice	MW online	alternative	altern	noun & adjective	1 & 3	5	1	abstract	16	60.8566	2		cognate	alternativa	0	NOT PRESENT	Grades 11-12 Speaking and Listening Standards						5	math	1	1
altimeter		yes	noun	an instrument for measuring altitude	MW online	altimeter	altimet	noun	1	4	1	concrete	0.5049	0.5212	0		cognate	altímetro	0								4	math	1	1
altitude		no	noun	the vertical elevation of an object above a surface (as sea level or land) of a planet or natural satellite	MW online	altitude	altitud	noun	3	4	1	abstract	7	9	0		cognate	altitud	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
amend		no	verb	"to change, alter , or modify for the better"	MW online	amend	amend	verb	3	5	1	n/a	0.4127	24.2234	2		cognate	enmendar	0	NOT PRESENT	NOT PRESENT						5	math	1	1
amendment		no	noun	"the act of amending or correcting, or the result of amending"	MW online	amendment	amend	noun	2	5	1	abstract	17	24.2234	1	amend	cognate	enmienda	0	NOT PRESENT	NOT PRESENT						5	math	1	1
amplifier	device to make music louder	no	noun	"one that amplifies, especially a device usually using electron tubes or transistors to obtain an increase of voltage, current, or power"	MW online	amplifier	amplifi	noun	1	4	1	concrete	0.7126	3.6729	0		cognate	amplificador	0								4	math	1	1
analyze		no	verb	to study or determine the nature and relationship of the parts to each other and to a whole 	MW online	analyze	analyz	verb	4	4 & 5	4	n/a	10	21.9168	1	analyse	cognate	analizar	1	"K.G ,4.OA ,5.OA ,6.EE ,7.RP ,8.EE , HS.F-IF ,HS.S-MD ,8A.A ,8A.F "	"Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Speaking and Listening Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 7 Speaking and Listening Standards,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Language Standards,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	Math:4.OA - Generate and Analyze Patterns (heading only)		"ELA: Grade 5 Reading Standards for Literature - Integration of Knowledge and Ideas (7),Grade 5 Reading Standards for Informational Texts - Craft and Structure (6),Grade 5 Speaking and Listening Standards - Comprehension and Collaboration (3),; Math: 5.OA - Write and interpret numerical expressions (2.1)"			4 & 5	math & science	2	6
angle		yes	noun	a figure formed by two rays that have the same endpoint	4th math psf	angle	angl	noun & verb	3 & 5	4 & 5	4	abstract	16	26.8499	0		cognate	ángulo	1	"4.MD ,7.G ,8.G ,HS.F-TF ,HS.G-CO ,HS.G-SRT ,HS.G-C ,8A.G "	NOT PRESENT	"Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"					4 & 5	math & science	2	6
angles		yes	noun	a figure formed by two rays that have the same endpoint (plural)	4th math psf	angle	angl	noun & verb	3 & 5	4 & 5	4	abstract	9	26.8499	0		cognate	ángulos	1	"2.G ,4.MD ,4.G ,5.G ,6.G ,7.G , 8.G ,HS.F-TF ,HS.G-CO ,HS.G-SRT ,HS.G-C ,8A.G "	Grade 7 Reading Standards for Literature	"Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5), 4.MD Geometric measurement: understand concepts of angle and measure angles (6), 4.MD Geometric measurement: understand concepts of angle and measure angles (7),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1),4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"		"Math: 5.G - Classify two-dimensional figures into categories based on their properties (3),5.G - Classify two-dimensional figures into categories based on their properties (5)"			4 & 5	math	1	4
annual		no	adjective	covering the period of a year	MW online	annual	annual	noun & adjective	2 & 2	4 & 5	2	concrete	22	26.196	2		cognate	annual	0	HS.A-SSE 	NOT PRESENT						4 & 5	math	1	2
annually		no	adverb	yearly; year by year	Webster's Online Dictionary	annually	annual	adverb	2	4	1	n/a	4	26.196	1	annual	cognate	anualmente	0	NOT PRESENT	NOT PRESENT						4	math	1	1
appropriate		no	adjective	especially suitable or compatible--fitting	MW online	appropriate	appropri	verb & adjective	2 & 5	4 & 5	2	n/a	37	45.3483	0		cognate	apropiado	1	"2.MD ,3.MD ,4.OA ,5.NF ,6.G ,7.EE ,8.EE ,HS.N-Q ,HS.N-VM ,HS.A-REI ,HS.F-IF ,HS.F-BF ,HS.S-ID ,8A.NQ ,8A.A ,8A.F "	"Grade 1 Reading Standards for Literature,Grade 1 Reading Standards: Foundational Skills,Grade 1 Speaking and Listening Standards,Grade 2 Reading Standards: Foundational Skills,Grade 2 Writing Standards,Grade 2 Speaking and Listening Standards,Grade 3 Reading Standards: Foundational Skills,Grade 3 Writing Standards,Grade 3 Speaking and Listening Standards,Grade 3 Language Standards,Grade 4 Reading Standards: Foundational Skills,Grade 4 Writing Standards,Grade 4 Speaking and Listening Standards,Grade 4 Language Standards,Grade 5 Reading Standards: Foundational Skills,Grade 5 Writing Standards,Grade 5 Speaking and Listening Standards,Grade 6 Writing Standards,Grade 6 Speaking and Listening Standards,Grade 6 Language Standards,Grade 7 Writing Standards,Grade 7 Speaking and Listening Standards,Grade 8 Writing Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Speaking and Listening,Grades 9-10 Language Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	"Math: 4.OA Use the four operations with whole numbers to solve problems (3); ELA: Grade 4 Reading Standards: Foundational Skills - Fluency (4),Grade 4 Writing Standards - Production and Distribution of Writing (4),Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (4),Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (5),Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (6),Grade 4 Language Standards - Knowledge of Language (3)"		"ELA: Grade 5 Reading Standards:  Foundational Skills - Fluency (3),Grade 5 Writing Standards - Production and Distribution of Writing (4),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (4),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (5),Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (6),; Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)"			4 & 5	math & science	2	4
approximate	close to actual	no	adjective	nearly correct or exact	MW online	approximate	approxim	verb & adjective	2 & 3	4 & 5	4	n/a	4	30.0767	0		cognate	aproximado	1	"7.NS ,7.S ,8.NS ,HS.A-SSE ,HS.S-C "	NOT PRESENT						4 & 5	math	1	4
approximately		yes	adverb	with approximation; so as to approximate; nearly	Webster's Online Dictionary	approximately	approxim	adverb	1	4 & 5	3	n/a	24	30.0767	0		cognate	aproximadamente	1	"7.NS ,8.NS ,HS.A-REI ,8A.A "	NOT PRESENT						4 & 5	math	1	3
aquarium		no	noun	a container (usually a glass tank) or a artificial pond in which living aquatic animals or plants are kept	MW online	aquarium	aquarium	noun	1	4	2	concrete	4	4.5817	0		cognate	acuario	0								4	math & science	2	3
arc		no	noun	"something that is curved, or the degree of measurement on the circumference of a circle"	MW online	arc	arc	noun & verb	3 & 1	4 & 5	2	concrete	4	4.6428	0		cognate	arco	1	"4.MD ,HS.F-TF ,HS.G-CO ,HS.G-C "	NOT PRESENT	Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5)					4 & 5	math	1	2
architect		no	noun	a person who designs buildings and advises in their construction	MW online	architect	architect	noun	1	4	1	concrete	6	11	0		cognate	arquitecto	0								4	math	1	1
architectural		no	adjective	"conforming to the rules of architecture, or having a single unified overall design, form, or structure"	MW online	architectural	architectur	adjective	1	5	1	n/a	2	9.0119	0		cognate	arquitectónico	0								5	math	1	1
architecture		no	noun	the art or practice of designing and building structures (especially habitable ones)	MW online	architecture	architectur	noun	4	4 & 5	3	concrete	7	9.0119	0		cognate	arquitectura	0								4 & 5	math	1	3
area	2 dimensional space measured in square units	yes	noun	the number of square units needed to cover a region	5th math hm	area	area	noun	6	4 & 5	4	concrete	247	424	2		cognate	área	1	"3.MD ,3.G ,4.NBT ,4.MD ,5.NBT ,5.NF ,5.MD ,5.G ,6.NS ,6.EE ,6.G ,7.G ,HS.N-VM ,HS.F-BF ,HS.G-SRT ,HS.G-C ,HS.G-GMD ,8A.F "	"Grade 2 Reading Standards for Informational Text,Grade 3 Reading Standards for Informational Text,Grade 4 Reading Standards for Informational Text,Grade 5 Reading Standards for Informational Text,"	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (3); ELA:Grade 4 Reading Standards for Informational Texts - Craft and Structure (4)"		"ELA: Grade 5 Reading Standards for Informational Texts - Craft and Structure (4),; Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4), 5.MD - understand concepts of volume and relate volume to multiplication and to addition (5),5.G - Classify two-dimensional figures into categories based on their properties (6)"			4 & 5	math & science	2	7
areas		yes	noun	the number of square units needed to cover a region (plural)	5th math hm	area	area	noun	6	4	1	concrete	177	424	1	area	cognate	áreas	1	"3.MD ,3.G ,5.NF ,7.R ,7.G ,HS.F-BF ,HS.G-C ,HS.G-GE ,HS.S-ID "	"Grade 2 Language Standards,Grade 3 Language Standards,Grade 4 Language Standards,Grade 5 Language Standards,"	 ELA:Grade 4 Language Standards - Knowledge of Language (4)		"ELA: Grade 5 Language Standards - Vocabulary Acquisition and Use (4),; Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)"			4 & 5	math & science	2	2
arrange		no	verb	"to put into a proper order or into a correct or suitable sequence, relationship, or adjustment "	MW online	arrange	arrang	verb	7	5	1	n/a	15	112.809	0		notcognate		1	"8.G ,8A.G "	NOT PRESENT						4 & 5	math & science	2	2
arranged		no	verb	"to put into a proper order or into a correct or suitable sequence, relationship, or adjustment "	MW online	arrange	arrang	adjective	3	4	1	n/a	49	112.809	0		notcognate		1	"K.CC,2.OA ,5.G "	NOT PRESENT			Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)			4	math	1	1
arrangement		no	noun	"the state of being arranged, or put into some kind of order"	MW online	arrangement	arrang	noun	6	4	1	abstract	27	112.809	0		notcognate		1	K.CC	NOT PRESENT						4	math	1	1
arrangements		no	noun	"the state of being arranged, or put into some kind of order (plural)"	MW online	arrangement	arrang	noun	6	5	2	abstract	13	112.809	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	2
arranges		no	verb	"to put into a proper order or into a correct or suitable sequence, relationship, or adjustment "	MW online	arrange	arrang	verb	7	4	1	n/a	0.8247	112.809	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
array		yes	noun	"an arrangement of numbers, objects, or pictures in columns or rows"	4th math hm	array	arrai	noun & verb	4 & 2	4 & 5	4	abstract	4	4.7147	0		notcognate		1	K.CC	"Grade 1 Language Standards,Grade 2 Language Standards,"						4 & 5	math	1	4
arrays		yes	noun	"an arrangement of numbers, objects, or pictures in columns or rows (plural)"	4th math hm	array	arrai	noun & verb	4 & 2	4 & 5	2	abstract	0.0065	4.7147	0		notcognate		1	"2.OA ,3.OA ,4.NBT ,5.NBT "	NOT PRESENT	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)"		Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6)			4 & 5	math	1	2
associative	property of addition and multiplication	yes	adjective	describing the property that the way in which the factors are grouped does not change the sum or the product	5th math hm	associative	associ	adjective	1	4 & 5	4	n/a	0.2136	83.0918	0		cognate	asociativo	1	"1.OA ,3.OA ,5.MD ,HS.N-CN ,HS.N-VM "	NOT PRESENT			Math:  5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)			4 & 5	math	1	4
astronaut		no	noun	"a person who travels beyond earth's atmosphere, or trainees for spaceflight"	MW online	astronaut	astronaut	noun	1	4 & 5	2	concrete	8	21.0554	0		cognate	astronauta	0								4 & 5	math & science	2	3
astronauts		no	noun	"a person who travels beyond earth's atmosphere, or trainees for spaceflight (plural)"	MW online	astronaut	astronaut	noun	1	5	1	concrete	13	21.0554	0		cognate	astronautas	0								5	math & science	2	2
atmosphere		no	noun	the gaseous envelope of a celestial body (usually a planet)	MW online	atmosphere	atmospher	noun	6	5	1	abstract	50	56.7204	0		cognate	atmósfera	0								5	math & science	2	3
atmospheric		no	adjective	"of, relating to, or occurring in the atmosphere, the gaseous envelope of a celestial body"	MW online	atmospheric	atmospher	adjective	1	5	1	n/a	6	56.7204	0		cognate	atmosférico	0								5	math & science	2	3
atomic		no	adjective	"of, relating to, or concerning atoms, the smallest particles of an element that can exist either alone or in combination"	MW online	atomic	atom	adjective	3	5	1	n/a	23	101.1716	0		cognate	atómico	0								5	math & science	2	3
atoms		no	noun	that smallest particle of an element that can exist either alone or in combination (plural)	MW online	atom	atom	noun	2	5	1	concrete	47	101.1716	0		cognate	átomos	0								4 & 5	math & science	2	5
attend		no	verb	to be present at	MW online	attend	attend	verb	5	4	1	n/a	21	56.4996	0		notcognate		0								4	math	1	1
attendance		no	noun	the act or fact of attending	MW online	attendance	attend	noun	3	5	1	abstract	3	56.4996	0		notcognate		0								5	math	1	1
attended		no	verb	to be present at	MW online	attend	attend	adjective	2	4	1	n/a	14	56.4996	0		notcognate		0								4	math	1	1
attending		no	verb	to be present at	MW online	attending	attend	noun & adjective	2 & 2	4	1	abstract	7	56.4996	0		notcognate		0								4	math	1	1
average	the mean	yes	noun	the number found by dividing the sum of a group of numbers by the number of addends	5th math hm	average	averag	noun & verb & adjective	1 & 3 & 6	4 & 5	4	abstract	80	85	0		notcognate		1	"HS.N-CN ,HS.F-IF "	NOT PRESENT						4 & 5	math & science	2	8
averages		yes	noun	the number found by dividing the sum of a group of numbers by the number of addends (plural)	5th math hm	average	averag	noun & verb & adjective	1 & 3 & 6	4	1	abstract	3	85	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math & science	2	2
avocado		no	noun	"a pulpy green, nutty flavored fruit from a tropical American tree"	MW online	avocado	avocado	noun & adjective	2 & 1	4 & 5	2	concrete	0.6325	0.8599	0		notcognate		0								4 & 5	math	1	2
avocados		yes	noun	"a pulpy green, nutty flavored fruit from a tropical American tree (plural)"	MW online	avocado	avocado	noun & adjective	2 & 1	4 & 5	2	concrete	0.2274	0.8599	0		notcognate		0								4 & 5	math	1	2
axes	lines on a coordinate plane	yes	noun	"in a coordinate plane, the horizontal and vertical lines along which the coordinates are measured (plural)"	4th math hm	ax	ax	noun & verb	1 & 2	4 & 5	4	concrete	4	15.0751	0		notcognate		1	"5.G ,6.NS ,8A.A "	NOT PRESENT			Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)			4 & 5	math & science	2	6
