MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
architectural	42	445					5th math hm	math	5																																																								
architecture	43	590					4th math hm	math	4	268					4th math psf	math	4	172					5th math psf	math	5																																								
area	44	126	2-dimensional space measured in square units	x			5th math psf	math	5	553	2-dimensional space measured in square units				4th math hm	math	4	466	2-dimensional space measured in square units	x			4th math psf	math	4	438	2-dimensional space measured in square units	x			5th math hm	math	5	92					4th science delta	science	4	187					5th science delta	science	5	101					5th science mmh	science	5								
areas	45	10					4th math psf	math	4																									489					5th science mmh	science	5																								
arrange	46	6					5th math hm	math	5																									254					4th science mmh	science	4																								
arranged	47	296					4th math hm	math	4																																																								
arrangement	48	121					4th math hm	math	4																																																								
arrangements	49	6					5th math hm	math	5	195					5th math psf	math	5																																																
arranges	50	141					4th math hm	math	4																																																								
array	51	468		x			5th math psf	math	5	120		x			4th math hm	math	4	466		x			4th math psf	math	4	6				introduced 1st in 3rd grade	5th math hm	math	5																																
arrays	52	301					4th math hm	math	4	193					5th math psf	math	5																																																
associative	53	468	property of addition and multiplication	x			5th math psf	math	5	66		x			4th math hm	math	4	466		x			4th math psf	math	4	128		x			5th math hm	math	5																																
astronaut	54	616					5th math hm	math	5	139					4th math psf	math	4																	162					5th science delta	science	5																								
astronauts	55	36					5th math psf	math	5																									308		x			5th science mmh	science	5																								
atmosphere	56	566					5th math hm	math	5																									255		x			5th science delta	science	5	484		x			5th science mmh	science	5																
atmospheric	57	566					5th math hm	math	5																									23					5th science delta	science	5	235					5th science mmh	science	5																
atomic	58	64					5th math hm	math	5																									65					5th science delta	science	5	485		x			5th science mmh	science	5																
atoms	59	18					5th math hm	math	5																									20		x			4th science delta	science	4	141					4th science mmh	science	4	28		x			5th science delta	science	5	354					5th science mmh	science	5
attend	60	42					4th math hm	math	4																																																								
attendance	61	179					5th math hm	math	5																																																								
attended	62	42					4th math hm	math	4																																																								
attending	63	195					4th math hm	math	4																																																								
average	64	468	the mean	x			5th math psf	math	5	265	the mean	x			4th math hm	math	4	466	the mean	x			4th math psf	math	4	342	the mean	x			5th math hm	math	5	49					4th science delta	science	4	86					4th science mmh	science	4	27		x			5th science delta	science	5	213		x			5th science mmh	science	5
averages	65	195					4th math psf	math	4																									49					4th science delta	science	4																								
avocado	66	158					5th math psf	math	5	244					4th math hm	math	4																																																
avocados	67	244		x			4th math hm	math	4	153					5th math psf	math	5																																																
axes	68	468	lines on a coordinate plane	x			5th math psf	math	5	461	lines on a coordinate plane	x			4th math hm	math	4	399	lines on a coordinate plane				4th math psf	math	4	349	lines on a coordinate plane				5th math hm	math	5	174	on a coordinate plane				5th science delta	science	5	207					4th science delta	science	4																
axis	69	349	a line on a coordinate plane				5th math hm	math	5	468	a line on a coordinate plane	x			5th math psf	math	5	652	a line on a coordinate plane				4th math hm	math	4									17	a special line in a coordinate plane				5th science mmh	science	5	174	on a coordinate plane	x			5th science delta	science	5	335		x			4th science mmh	science	4								
balance	70	318					4th math psf	math	4	339					4th math hm	math	4																	156	noun--balance of nature				4th science delta	science	4																								
balanced	71	174	equal				4th math hm	math	4																									55					4th science mmh	science	4	121					5th science delta	science	5																
balancing	72	131					4th math hm	math	4																																																								
banquet	73	114					4th math psf	math	4	329					5th math hm	math	5																																																
base	74	ksh5	the base of an exponential expression	x			5th math hm	math	5																									485	noun--a compound that is alkaline	x			5th science mmh	science	5																								
base	75	467	the bottom of a figure				4th math psf	math	4	452	the bottom of a figure	x			5th math hm	math	5	468	the bottom of a figure	x			5th math psf	math	5									485	noun--a compound that is alkaline	x			5th science mmh	science	5																								
bases	76	467	the matching bottom & top of a figure				4th math psf	math	4																																																								
batch	77	113					4th math psf	math	4	115					5th math hm	math	5																																																
batches	78	113					4th math psf	math	4																																																								
beam	79	197	a long square board				5th math hm	math	5																																																								
beams	80	289	boards				4th math hm	math	4																									489	noun: electron beams				5th science mmh	science	5																								
benchmark	81	468	simple fractions used for estimating more complex fractional values--adjective	x			5th math psf	math	5	466	adjective--fractions commonly used for estimation	x			4th math psf	math	4																																																
bilateral	82	582		x			4th math hm	math	4	440					4th math psf	math	4																																																
billions	83	5					5th math psf	math	5																									138					4th science delta	science	4	16					5th science delta	science	5																
billionth	84	456					5th math hm	math	5																									354					5th science mmh	science	5																								
border	85	341					4th math hm	math	4																																																								
bordered	86	459	adjective--forming the borders of				5th math hm	math	5																																																								
bouquet	87	80					4th math psf	math	4	248					4th math hm	math	4																																																
bouquets	88	248					4th math hm	math	4	xii					4th math psf	math	4																																																
budget	89	521	noun--a spending plan				5th math hm	math	5																																																								
budget	90	158	verb				5th math psf	math	5																																																								
budgeted	91	70	verb				5th math psf	math	5																																																								
budgets	92	521	verb				5th math hm	math	5																																																								
builder	93	396					4th math hm	math	4																																																								
buildings	94	396					4th math hm	math	4																																																								
built	95	69					4th math hm	math	4																																																								
bulbs	96	338	flower bulbs				4th math hm	math	4	72					4th math psf	math	4																	306	light bulbs				4th science mmh	science	4	103					4th science delta	science	4																
bundle	97	81	noun--group of items				4th math psf	math	4	343	a group of something				4th math hm	math	4																																																
bundles	98	55	noun plural				4th math hm	math	4																																																								
bundling	99	81	verb				4th math psf	math	4																																																								
bushels	100	361		x			4th math psf	math	4	464					5th math hm	math	5																																																
calcium	101	36					4th math hm	math	4	150					5th math hm	math	5																	29					5th science delta	science	5	356					5th science mmh	science	5																
calculated	102	220					4th math hm	math	4	94					4th math psf	math	4	146					5th math psf	math	5									92					4th science delta	science	4	299					5th science mmh	science	5																
calculates	103	244					5th math hm	math	5	198					4th math hm	math	4																																																
calculating	104	91					4th math psf	math	4																									323					5th science mmh	science	5																								
calculation	105	29					4th math psf	math	4	402					5th math hm	math	5	87					5th math psf	math	5																																								
calculations	106	xi					4th math psf	math	4	240					5th math hm	math	5	xi					5th math psf	math	5									252					5th science delta	science	5																								
calorie	107	162					5th math hm	math	5																																																								
calories	108	73					5th math psf	math	5																									134		x			5th science delta	science	5	167					5th science mmh	science	5																
candidate	109	21					5th math hm	math	5																																																								
candidates	110	135					4th math hm	math	4																																																								
capacity	111	645		x			4th math hm	math	4	466		x			4th math psf	math	4	78					5th math hm	math	5	468		x			5th math psf	math	5																																
carbohydrates	112	162					5th math hm	math	5																									117					5th science delta	science	5	486					5th science mmh	science	5																
carbon	113	18					5th math hm	math	5																									24					4th science delta	science	4	141					4th science mmh	science	4	29					5th science delta	science	5	352					5th science mmh	science	5
cashews	114	244					5th math hm	math	5	146					5th math psf	math	5																																																
categorical	115	386	as in categorical data				4th math psf	math	4																																																								
category	116	429					4th math psf	math	4																																																								
cattle	117	310					4th math hm	math	4	167					4th math psf	math	4																																																
cells	118	156	batteries				4th math psf	math	4																									64					4th science mmh	science	4	85					5th science delta	science	5	21		x			5th science mmh	science	5								
cells	119	233	cells that make up the body				5th math psf	math	5																									64					4th science mmh	science	4	85					5th science delta	science	5	21		x			5th science mmh	science	5								
center	120	468	noun--center of a circle	x			5th math psf	math	5	466	center of a circle	x			4th math psf	math	4																																																
centerpiece	121	115					4th math psf	math	4																																																								
centimeter	122	469		x			5th math psf	math	5	321					4th math hm	math	4	466		x			4th math psf	math	4									187					5th science delta	science	5																								
centimeters	123	268					4th math hm	math	4	311					4th math psf	math	4	12					5th math psf	math	5									12					4th science delta	science	4	86					4th science mmh	science	4	15					5th science mmh	science	5								
centuries	124	107					5th math hm	math	5																									43					4th science delta	science	4																								
century	125	466		x			4th math psf	math	4	116		x			5th math psf	math	5																	164					5th science mmh	science	5																								
ceramic	126	240					4th math hm	math	4	152					4th math psf	math	4																																																
certain	127	469	adjective--sure to occur	x			5th math psf	math	5	466	sure to occur	x			4th math psf	math	4	532	sure	x			4th math hm	math	4																																								
challenge	128	31	noun				4th math hm	math	4																																																								
challenge	129	164	verb- to dispute				4th math hm	math	4																																																								
chance	130	438	noun--likelihood				5th math psf	math	5	474					4th math psf	math	4																																																
charity	131	222					4th math hm	math	4	b2					5th math hm	math	5																																																
chart	132	354	a diagram				5th math hm	math	5	248	a diagram				4th math hm	math	4	382	a diagram				4th math psf	math	4									25					4th science mmh	science	4																								
charts	133	248	noun plural--diagrams				4th math hm	math	4	44	noun plural--diagrams				4th math psf	math	4																	149					4th science delta	science	4																								
chemicals	134	226					4th math hm	math	4																									102					4th science delta	science	4	194					4th science mmh	science	4	115					5th science mmh	science	5								
chemist	135	377					5th math hm	math	5																									43					5th science delta	science	5																								
chirping	136	606					5th math hm	math	5																																																								
chirps	137	195	plural noun- sound a cricket makes				4th math hm	math	4	606	noun plural				5th math hm	math	5																																																
circle	138	467		x			4th math psf	math	4																																																								
circular	139	467	like a circle				4th math psf	math	4																									300					4th science mmh	science	4																								
circulars	140	291	flyers				5th math hm	math	5																																																								
circumference	141	626					5th math hm	math	5	18					5th math psf	math	5																																																
classification	142	281					5th math hm	math	5																									138		x			5th science delta	science	5	47		x			5th science mmh	science	5																
classified	143	202					4th math psf	math	4	184					5th math psf	math	5																	106					5th science delta	science	5	494					5th science mmh	science	5																
classify	144	180					5th math psf	math	5	553					4th math hm	math	4	202					4th math psf	math	4									5		x			4th science mmh	science	4	138		x			5th science delta	science	5	3		x			5th science mmh	science	5								
classifying	145	387					5th math hm	math	5																									337					5th science mmh	science	5																								
climate	146	351					4th math hm	math	4																									85		x			4th science mmh	science	4	487		x			5th science mmh	science	5																
closed	147	467	adjective--without an opening				4th math psf	math	4																																																								
clubhouse	148	396					4th math hm	math	4																																																								
coastline	149	85					4th math hm	math	4	593					5th math hm	math	5																																																
collectable	150	87	able to be collected				4th math hm	math	4																																																								
collection	151	49					4th math hm	math	4	132					5th math hm	math	5																																																
colonies	152	281					5th math psf	math	5																									158					4th science delta	science	4	46					4th science mmh	science	4																
colonists	153	105					5th math psf	math	5																																																								
colony	154	xx					4th math psf	math	4	xx					5th math psf	math	5																	67		x			4th science mmh	science	4																								
column	155	97	"column of a table, number, or problem"				5th math hm	math	5																																																								
columns	156	466	"columns of a table, number, or problem"				4th math psf	math	4	419	"columns of a table, number, or problem"				5th math hm	math	5	15	"columns of a table, number, or problem"				5th math psf	math	5	300	"columns of a table, number, or problem"				4th math hm	math	4	389					4th science mmh	science	4	44					5th science delta	science	5																
combination	157	194					5th math hm	math	5																									135					4th science delta	science	4	302					4th science mmh	science	4																
combinations	158	531					4th math hm	math	4	xiv					4th math psf	math	4	xiv					5th math psf	math	5																																								
combined	159	xiv					4th math psf	math	4	xiv					5th math psf	math	5																																																
commercially	160	244					4th math hm	math	4	153					5th math psf	math	5																																																
common	161	468	shared: as in common denominator	x			5th math psf	math	5	467	shared across 2 or more things or groups				4th math psf	math	4	5	shared	x			5th math hm	math	5																																								
community	162	525					4th math hm	math	4	131					4th math psf	math	4																	170		x			4th science delta	science	4	214					5th science mmh	science	5																
commutative	163	468	property of addition and multiplication	x			5th math psf	math	5	66		x			4th math hm	math	4	467		x			4th math psf	math	4	128		x			5th math hm	math	5																																
commuting	164	443					5th math hm	math	5																																																								
compare	165	392		x			4th math hm	math	4	10					4th math psf	math	4	6					5th math psf	math	5									8					4th science mmh	science	4	3		x			5th science mmh	science	5																
compared	166	179					5th math hm	math	5																																																								
comparing	167	10					4th math psf	math	4	3					5th math psf	math	5																																																
comparison	168	8					5th math psf	math	5	498					4th math hm	math	4																																																
comparisons	169	121					5th math psf	math	5																																																								
compass	170	33					4th math hm	math	4	ksh27					5th math hm	math	5	451					5th math psf	math	5									71		x			4th science delta	science	4	336		x			4th science mmh	science	4																
compatible	171	316	as in compatible numbers	x			5th math hm	math	5	467		x			4th math psf	math	4	25					5th math psf	math	5																																								
compensate	172	24					5th math psf	math	5																																																								
compensation	173	467		x			4th math psf	math	4	469		x			5th math psf	math	5																																																
competition	174	161					4th math hm	math	4																									170		x			4th science delta	science	4	53		x			4th science mmh	science	4																
competitors	175	69					5th math hm	math	5																																																								
complex	176	609	complicated				4th math hm	math	4	150					4th math psf	math	4	438					5th math hm	math	5									63					5th science delta	science	5	501					5th science mmh	science	5																
composite	177	5	as in composite number	x			5th math hm	math	5	468	a type of number	x			5th math psf	math	5	180					4th math psf	math	4	646		x			4th math hm	math	4																																
computation	178	24	mental math				5th math psf	math	5	44					4th math hm	math	4																																																
computations	179	215					4th math hm	math	4	469					5th math psf	math	5																																																
compute	180	6					5th math psf	math	5	74					4th math hm	math	4	135					4th math psf	math	4																																								
computing	181	642					4th math hm	math	4																																																								
concept	182	270					5th math psf	math	5	196					4th math hm	math	4	118					4th math psf	math	4																																								
concepts	183	5					4th math hm	math	4	388					4th math psf	math	4																																																
conceptual	184	182					4th math psf	math	4																																																								
conclude	185	195					4th math psf	math	4	627					4th math hm	math	4																	51	verb				4th science mmh	science	4																								
concluded	186	215					4th math psf	math	4																									13					5th science mmh	science	5																								
conclusions	187	127					4th math psf	math	4																									13	deductions based on evidence	x			4th science mmh	science	4	3					5th science mmh	science	5																
concrete	188	248	adjective--real and explicit				5th math psf	math	5																									183	noun--cement				4th science delta	science	4	384	noun--cement				5th science mmh	science	5																
concrete	189	396	made of concrete				4th math hm	math	4																									183	noun--cement				4th science delta	science	4	384	noun--cement				5th science mmh	science	5																
conduct	190	b1	to carry out (a survey)				5th math hm	math	5	512	to carry out (a survey)				4th math hm	math	4																	47	verb--to carry electricity or heat				4th science delta	science	4	70	verb--to carry electricity or heat				5th science delta	science	5	488	verb--to carry electricity or heat	x			5th science mmh	science	5								
conducted	191	515	carried out (a survey)				5th math hm	math	5																									28	"verb--to perform or do, as in an experiment"				4th science delta	science	4																								
cone	192	646		x			4th math hm	math	4	467		x			4th math psf	math	4	469		x			5th math psf	math	5									74					5th science mmh	science	5																								
congruence	193	436					4th math psf	math	4	579					4th math hm	math	4																																																
congruent	194	469	having the same shape				5th math psf	math	5	467		x			4th math psf	math	4	420		x			5th math hm	math	5	579		x			4th math hm	math	4																																
consecutive	195	61		x			4th math hm	math	4	470					4th math psf	math	4	11					5th math hm	math	5	251					5th math psf	math	5																																
conservation	196	105					4th math hm	math	4																									222					5th science delta	science	5	488		x			5th science mmh	science	5																
conservationists	197	b6					5th math hm	math	5																																																								
construct	198	450	to make or build				5th math psf	math	5	ksh27					5th math hm	math	5																																																
constructing	199	190					5th math hm	math	5	454					5th math psf	math	5																	488					5th science mmh	science	5																								
construction	200	469	something made or built	x			5th math psf	math	5	396					4th math hm	math	4																	50					4th science delta	science	4	177					5th science mmh	science	5																
constructions	201	450	things made or built	x			5th math psf	math	5																																																								
container	202	332					4th math hm	math	4																																																								
contains	203	470					4th math psf	math	4	40					5th math hm	math	5																																																
contractor	204	286					5th math hm	math	5																																																								
contractors	205	591	person in charge of a construction project				4th math hm	math	4																																																								
contribute	206	30					4th math psf	math	4	463					4th math hm	math	4																	231					4th science delta	science	4	318					4th science mmh	science	4	71					5th science delta	science	5								
contributed	207	222					4th math hm	math	4																																																								
contributes	208	213					4th math hm	math	4																																																								
conversion	209	361					4th math psf	math	4																									27		x			4th science delta	science	4																								
conversions	210	350					4th math psf	math	4																									28					4th science delta	science	4																								
convert	211	278	to change to something else				5th math psf	math	5	78					5th math hm	math	5	321	to change				4th math hm	math	4									71		x			4th science delta	science	4	345					4th science mmh	science	4	499					5th science mmh	science	5								
converted	212	332					4th math hm	math	4																									27					4th science delta	science	4	311					4th science mmh	science	4	93					5th science delta	science	5								
converting	213	329	changing				4th math hm	math	4	361					4th math psf	math	4																																																
coordinate	214	363	x or y value  or a point  on a coordinate grid	x			5th math hm	math	5	474	point on a grid				4th math hm	math	4																																																
coordinates	215	363	points on a coordinate grid				5th math hm	math	5	469	points on a grid	x			5th math psf	math	5	466	numbers				4th math hm	math	4																																								
corresponding	216	642	adjective--that correspond to one another				4th math hm	math	4	420	adjective--that correspond to one another				5th math hm	math	5																																																
counter	217	386	playing piece in a game				5th math hm	math	5																																																								
counters	218	190	objects for counting				4th math hm	math	4																																																								
coupon	219	75					5th math psf	math	5	426					4th math psf	math	4																																																
coupons	220	69					5th math psf	math	5																																																								
cricket	221	195					4th math hm	math	4																																																								
crickets	222	127					4th math psf	math	4	606					5th math hm	math	5																																																
crystal	223	126					4th math psf	math	4																									262		x			4th science delta	science	4	141					4th science mmh	science	4	78		x			5th science delta	science	5								
crystals	224	126					4th math psf	math	4	544					5th math hm	math	5																	174					4th science mmh	science	4	10					5th science delta	science	5	434					5th science mmh	science	5								
cube	225	647	a 3D square	x			4th math hm	math	4	467	noun	x			4th math psf	math	4	469	noun--a figure	x			5th math psf	math	5	471	noun	x			5th math hm	math	5																																
cubed	226	469	adjective--to the 3rd power	x			5th math psf	math	5																																																								
cubes	227	128	noun plural				5th math psf	math	5	622	noun plural				4th math hm	math	4	126					4th math psf	math	4	474	noun plural				5th math hm	math	5																																
cubic	228	647		x			4th math hm	math	4	295					4th math psf	math	4	482		x			5th math hm	math	5	468		x			5th math psf	math	5																																
cup	229	469	a measurement for fluids	x			5th math psf	math	5	350		x			4th math psf	math	4																																																
cups	230	332	capacity measurement	x			4th math hm	math	4	267	noun plural				5th math psf	math	5																																																
customary	231	325					4th math hm	math	4	350					4th math psf	math	4	469					5th math psf	math	5																																								
cylinder	232	647		x			4th math hm	math	4	467		x			4th math psf	math	4	469		x			5th math psf	math	5									121					5th science mmh	science	5																								
data	233	512		x			4th math hm	math	4	467		x			4th math psf	math	4	470		x			5th math psf	math	5									29					4th science delta	science	4	11		x			4th science mmh	science	4	256		x			5th science delta	science	5	484					5th science mmh	science	5
decade	234	325		x			4th math psf	math	4																																																								
decades	235	107					5th math hm	math	5	127					5th math psf	math	5																																																
deciliter	236	627					5th math hm	math	5																																																								
decimal	237	14	adjective--as in decimal point				4th math psf	math	4	434	adjective--decimal number	x			4th math hm	math	4	138	adjective--as in decimal point				5th math psf	math	5	54	adjective--as in decimal point	x			5th math hm	math	5	383	decimal point				4th science mmh	science	4	33					5th science mmh	science	5																
decimal	238	434	noun--a number	x			4th math hm	math	4	14	noun--the number				4th math psf	math	4	138	noun--a number				5th math psf	math	5	54	noun--a number	x			5th math hm	math	5	383	decimal point				4th science mmh	science	4	33					5th science mmh	science	5																
decimals	239	54	noun plural--numbers				5th math hm	math	5	8	noun plural				4th math hm	math	4	10	noun plural				4th math psf	math	4	6	noun plural				5th math psf	math	5	183					4th science mmh	science	4	165					5th science mmh	science	5																
decimeter	240	648		x			4th math hm	math	4	467		x			4th math psf	math	4	627					5th math hm	math	5																																								
decimeters	241	334	units of length	x			4th math hm	math	4																																																								
decorate	242	440					4th math hm	math	4																																																								
decorative	243	223					4th math hm	math	4	486					5th math hm	math	5																																																
decrease	244	b6					5th math hm	math	5	409					4th math hm	math	4																																																
decreases	245	328					4th math hm	math	4																																																								
degree	246	648	unit measure in a scale or series	x			4th math hm	math	4	32					4th math psf	math	4	470		x			5th math psf	math	5																																								
degrees	247	350	unit measures in a scale or series	x			4th math hm	math	4	471					4th math psf	math	4	342					5th math psf	math	5	390		x			5th math hm	math	5																																
demonstrate	248	48					4th math hm	math	4																																																								
demonstration	249	273					4th math hm	math	4																																																								
denominator	250	470		x			5th math psf	math	5	367		x			4th math hm	math	4	468		x			4th math psf	math	4	38		x			5th math hm	math	5																																
denominators	251	392					4th math hm	math	4	ksh12		x			5th math hm	math	5	472					5th math psf	math	5																																								
derivation	252	182					4th math psf	math	4																																																								
derive	253	456					5th math hm	math	5	304					5th math psf	math	5																																																
deriving	254	336					4th math hm	math	4	182					4th math psf	math	4																																																
destroyed	255	105					4th math hm	math	4	b6					5th math hm	math	5																	54					4th science mmh	science	4																								
destructive	256	474					4th math hm	math	4																																																								
determine	257	479					5th math hm	math	5	528					4th math hm	math	4	166					4th math psf	math	4									9					4th science mmh	science	4	485					5th science mmh	science	5																
determined	258	56					5th math hm	math	5																																																								
determining	259	190					4th math hm	math	4																																																								
diagonal	260	173					5th math hm	math	5																																																								
diagonally	261	339					4th math hm	math	4	186					5th math psf	math	5																																																
diagonals	262	14					5th math psf	math	5																																																								
diagram	263	16	noun--picture or depiction				4th math psf	math	4	49	noun--picture or depiction				4th math hm	math	4	471	noun				5th math psf	math	5	106	noun				5th math hm	math	5	4					4th science mmh	science	4	30					5th science mmh	science	5																
diagrams	264	38	noun--pictures				4th math hm	math	4	44	noun--pictures				4th math psf	math	4																																																
diameter	265	568		x			4th math hm	math	4	468		x			4th math psf	math	4	354					5th math hm	math	5	470		x			5th math psf	math	5	256		x			5th science delta	science	5	10					5th science mmh	science	5																
differ	266	28					4th math hm	math	4																																																								
difference	267	468	noun--answer to a subtraction problem	x			4th math psf	math	4	71	answer in a subtraction problem	x			4th math hm	math	4	470	answer to a subtraction problem	x			5th math psf	math	5																																								
differences	268	30	answers to subtraction problems				5th math psf	math	5																									182					4th science mmh	science	4																								
differentiate	269	296					5th math psf	math	5																									206					4th science delta	science	4																								
digest	270	198	verb- break down food				4th math hm	math	4	510					5th math hm	math	5																	120	to eat and break down				5th science delta	science	5																								
